lat,lng,class,lswi,ci,evi,mndwi,ndbi,ndwi,savi,ndvi,ndpi,wetness,wwi
561017.1553,2741121.224,vegetation,0.17340308,0.48202842,-2.7156527,-0.13584545,-0.17340308,0.17340308,0.5242404,0.3495018,-0.04166407,0.33259073,0.46843618
560726.5339,2742215.671,vegetation,0.17702334,0.57240963,-1.1925397,-0.048262548,-0.17702334,0.17702334,0.40788862,0.27193317,-0.05645933,0.29902425,0.3472868
560942.5967,2741825.291,vegetation,0.15012139,0.7577108,-0.3637708,0.06478664,-0.15012139,0.15012139,0.20675851,0.13784361,-0.06667534,0.2115658,0.14677915
561805.5675,2740576.865,vegetation,0.11232842,0.76801854,-0.3789944,0.027603248,-0.11232842,0.11232842,0.19680834,0.13120985,-0.06041828,0.18138261,0.15377937
563169.2734,2739252.502,vegetation,0.024982275,0.5932617,-1.8772537,-0.20791568,-0.024982275,0.024982275,0.38292003,0.25528654,-0.043250326,0.18074372,0.38865942
564320.6555,2737535.949,vegetation,0.16964594,0.5607949,-1.3838481,-0.06782345,-0.16964594,0.16964594,0.42208615,0.28139836,-0.052035034,0.29122043,0.3590439
564252.8192,2736752.971,vegetation,0.10560953,0.5675413,-1.7381681,-0.14336404,-0.10560953,0.10560953,0.41381449,0.27588344,-0.050314065,0.2534768,0.39684084
563758.9887,2735341.897,vegetation,0.23475434,0.55308306,-1.291225,-0.003161947,-0.23475434,0.23475434,0.4316299,0.28776112,-0.057638574,0.3279197,0.33108166
567058.4931,2733009.486,vegetation,0.19685571,0.52969617,-1.7479334,-0.067016914,-0.19685571,0.19685571,0.46116158,0.30744916,-0.04867054,0.31758335,0.38460025
571360.8951,2716595.052,vegetation,0.16621028,0.49295574,-3.251209,-0.1342778,-0.16621028,0.16621028,0.5094245,0.33962443,-0.03022256,0.3120478,0.4463256
570778.7377,2718470.459,vegetation,0.14790489,0.5819214,-1.2180183,-0.07151546,-0.14790489,0.14790489,0.39641684,0.26428533,-0.051661,0.26655805,0.33807352
569641.8402,2716821.165,vegetation,0.07714872,0.7339869,-0.5509431,-0.04351864,-0.07714872,0.07714872,0.23010962,0.15341124,-0.057708647,0.17616913,0.21968776
